economy,Country_name,Year,Population_of_compulsory_school_age_both_sexes_number,Repeaters_in_Grade_5_of_lower_secondary_general_education_female_number,Repeaters_in_grade_unknown_of_lower_secondary_general_education_both_sexes_numbe,School_age_population_last_grade_of_primary_education_female_number,School_age_population_lower_secondary_education_both_sexes_number,School_age_population_primary_education_both_sexes_number,School_age_population_secondary_education_female_number,School_age_population_tertiary_education_male_number,School_age_population_upper_secondary_education_both_sexes_number,School_life_expectancy_primary_female_years
BOL,Bolivia,1986,,,0.0,,,,,,,
BOL,Bolivia,1987,,,0.0,,,,,,,
BOL,Bolivia,1988,,,0.0,,,,,,,
BOL,Bolivia,1989,,,0.0,,,,,,,
BOL,Bolivia,1990,,,0.0,,,,,,,
BOL,Bolivia,1991,,,0.0,,,,,,,
BOL,Bolivia,1992,,,0.0,,,,,,,
BOL,Bolivia,1993,,,0.0,,,,,,,
BOL,Bolivia,1994,,,0.0,,,,,,,
BOL,Bolivia,1995,,,0.0,,,,,,,
BOL,Bolivia,1996,,,0.0,,,,,,,
BOL,Bolivia,1997,,,0.0,,,,,,,
BOL,Bolivia,1998,,,0.0,,,,,,,
BOL,Bolivia,1999,,,0.0,,,,,,,
BOL,Bolivia,2000,,,0.0,,,,,,,
BOL,Bolivia,2001,,,0.0,,,,,,,
BOL,Bolivia,2002,,,0.0,,,,,,,
BOL,Bolivia,2003,,,0.0,,,,,,,
BOL,Bolivia,2004,,,0.0,,,,,,,
BOL,Bolivia,2005,,,0.0,,,,,,,
BOL,Bolivia,2006,,,0.0,,,,,,,
BOL,Bolivia,2007,,,0.0,,,,,,,
BOL,Bolivia,2008,,,0.0,,,,,,,
BOL,Bolivia,2009,,,0.0,,,,,,,
BOL,Bolivia,2010,,,0.0,,,,,,,
BOL,Bolivia,2011,,,0.0,,,,,,,
BOL,Bolivia,2012,,,0.0,,,,,,,
BOL,Bolivia,2013,,,0.0,,,,,,,
BOL,Bolivia,2014,,,0.0,,,,,,,
BOL,Bolivia,2015,,,0.0,,,,,,,
BOL,Bolivia,2016,,,0.0,,,,,,,
BOL,Bolivia,2017,,,0.0,,,,,,,
BOL,Bolivia,2018,,,0.0,,,,,,,
BOL,Bolivia,2019,,,0.0,,,,,,,
BOL,Bolivia,2020,,,0.0,,,,,,,
BOL,Bolivia,2021,,,0.0,,,,,,,
BOL,Bolivia,2022,,,0.0,,,,,,,
BTN,Bhutan,1970,,,,,,,14255.0,13435.0,,
BTN,Bhutan,1971,,,,,,,14752.0,13561.0,,
BTN,Bhutan,1972,,,,,,,15270.0,13699.0,,
BTN,Bhutan,1973,,,,,,,15820.0,14152.0,,
BTN,Bhutan,1974,,,,,,,16403.0,14627.0,,
BTN,Bhutan,1975,,,,,,,17022.0,15124.0,,
BTN,Bhutan,1976,,,,,,,17688.0,15641.0,,
BTN,Bhutan,1977,,,,,,,18399.0,16179.0,,
BTN,Bhutan,1978,,,,,,,19149.0,16749.0,,
BTN,Bhutan,1979,,,,,,,19935.0,17348.0,,
BTN,Bhutan,1980,,,,,,,20745.0,17967.0,,
BTN,Bhutan,1981,,,,,,,21575.0,18617.0,,
BTN,Bhutan,1982,,,,,,,22426.0,19296.0,,
BTN,Bhutan,1983,,,,,,,23294.0,20009.0,,
BTN,Bhutan,1984,,,,,,,24183.0,20771.0,,
BTN,Bhutan,1985,,,,,,,25092.0,21569.0,,
BTN,Bhutan,1986,,,,,,,29512.0,20979.0,,
BTN,Bhutan,1987,,,,,,,30609.0,21754.0,,
BTN,Bhutan,1988,,,,,,,31728.0,22556.0,,
BTN,Bhutan,1989,,,,,,,32877.0,23374.0,,
BTN,Bhutan,1990,,,,,,,34064.0,24212.0,,
BTN,Bhutan,1991,,,,,,,35187.0,24900.0,,
BTN,Bhutan,1992,,,,,,,35846.0,25281.0,,
BTN,Bhutan,1993,,,,,,,33122.0,23299.0,,
BTN,Bhutan,1994,,,,,,,33359.0,23437.0,,
BTN,Bhutan,1995,,,,,,,33809.0,23779.0,,
BTN,Bhutan,1996,,,,,,,34768.0,24538.0,,
BTN,Bhutan,1997,,,,,,,35664.0,25316.0,,
BTN,Bhutan,1998,,,,,,,36537.0,26122.0,,
BTN,Bhutan,1999,,,,,,,37528.0,27108.0,,
BTN,Bhutan,2000,,,,,,,38781.0,29179.0,,
BTN,Bhutan,2001,,,,,,,40166.0,31452.0,,
BTN,Bhutan,2002,,,,,,,41737.0,33828.0,,
BTN,Bhutan,2003,,,,,,,43506.0,36182.0,,
BTN,Bhutan,2004,,,,,,,45231.0,38402.0,,
BTN,Bhutan,2005,,,,,,,46756.0,40365.0,,
BTN,Bhutan,2006,,,,,,,47456.0,41029.0,,
BTN,Bhutan,2007,,,,,,,47357.0,40961.0,,
BTN,Bhutan,2008,,,,,,,46827.0,41040.0,,
BTN,Bhutan,2009,,,,,,,45979.0,41417.0,,
BTN,Bhutan,2010,,,,,,,45040.0,42057.0,,
BTN,Bhutan,2011,,,,,,,44019.0,42906.0,,
BTN,Bhutan,2012,,,,,,,42983.0,43821.0,,
BTN,Bhutan,2013,,,,,,,42184.0,44506.0,,
BTN,Bhutan,2014,,,,,,,41706.0,44763.0,,
BTN,Bhutan,2015,,,,,,,41538.0,44538.0,,
BTN,Bhutan,2016,,,,,,,41752.0,43822.0,,
BTN,Bhutan,2017,,,,,,,42275.0,42673.0,,
BTN,Bhutan,2018,,,,,,,42542.0,41093.0,,
BTN,Bhutan,2019,,,,,,,42520.0,39679.0,,
BTN,Bhutan,2020,,,,,,,42139.0,38544.0,,
BTN,Bhutan,2021,,,,,,,41436.0,37760.0,,
BTN,Bhutan,2022,,,,,,,39592.0,37110.0,,
BTN,Bhutan,2023,,,,,,,38735.0,36949.0,,
BWA,Botswana,1970,,,,,,,,,35063.0,
BWA,Botswana,1971,,,,,,,,,36066.0,
BWA,Botswana,1972,,,,,,,,,38190.0,
BWA,Botswana,1973,,,,,,,,,43707.0,
BWA,Botswana,1974,,,,,,,,,46691.0,
BWA,Botswana,1975,,,,,,,,,49558.0,
BWA,Botswana,1976,,,,,,,,,52174.0,
BWA,Botswana,1977,,,,,,,,,54629.0,
BWA,Botswana,1978,,,,,,,,,56942.0,
BWA,Botswana,1979,,,,,,,,,59495.0,
BWA,Botswana,1980,,,,,,,,,62313.0,
BWA,Botswana,1981,,,,,,,,,62752.0,
BWA,Botswana,1982,,,,,,,,,65556.0,
BWA,Botswana,1983,,,,,,,,,67940.0,
BWA,Botswana,1984,,,,,,,,,70084.0,
BWA,Botswana,1985,,,,,,,,,72163.0,
BWA,Botswana,1986,,,,,,,,,48878.0,
BWA,Botswana,1987,,,,,,,,,50383.0,
BWA,Botswana,1988,,,,,,,,,51931.0,
BWA,Botswana,1989,,,,,,,,,81591.0,
BWA,Botswana,1990,,,,,,,,,84919.0,
BWA,Botswana,1991,,,,,,,,,89139.0,
BWA,Botswana,1992,,,,,,,,,93932.0,
BWA,Botswana,1993,,,,,,,,,98837.0,
BWA,Botswana,1994,,,,,,,,,103616.0,
BWA,Botswana,1995,,,,,,,,,112634.0,
BWA,Botswana,1996,,,,,,,,,116967.0,
BWA,Botswana,1997,,,,,,,,,121036.0,
BWA,Botswana,1998,,,,,,,,,82037.0,
BWA,Botswana,1999,,,,,,,,,84040.0,
BWA,Botswana,2000,,,,,,,,,85375.0,
BWA,Botswana,2001,,,,,,,,,86634.0,
BWA,Botswana,2002,,,,,,,,,88076.0,
BWA,Botswana,2003,,,,,,,,,89415.0,
BWA,Botswana,2004,,,,,,,,,90094.0,
BWA,Botswana,2005,,,,,,,,,90035.0,
BWA,Botswana,2006,,,,,,,,,89687.0,
BWA,Botswana,2007,,,,,,,,,89365.0,
BWA,Botswana,2008,,,,,,,,,89224.0,
BWA,Botswana,2009,,,,,,,,,89664.0,
BWA,Botswana,2010,,,,,,,,,90535.0,
BWA,Botswana,2011,,,,,,,,,90967.0,
BWA,Botswana,2012,,,,,,,,,90102.0,
BWA,Botswana,2013,,,,,,,,,88251.0,
BWA,Botswana,2014,,,,,,,,,86962.0,
BWA,Botswana,2015,,,,,,,,,87244.0,
BWA,Botswana,2016,,,,,,,,,88628.0,
BWA,Botswana,2017,,,,,,,,,90422.0,
BWA,Botswana,2018,,,,,,,,,92363.0,
BWA,Botswana,2019,,,,,,,,,93575.0,
BWA,Botswana,2020,,,,,,,,,94421.0,
BWA,Botswana,2021,,,,,,,,,95964.0,
BWA,Botswana,2022,,,,,,,,,98548.0,
BWA,Botswana,2023,,,,,,,,,101803.0,
CAF,Central African Republic,1970,,,,,,311249.0,,,,
CAF,Central African Republic,1971,,,,,,319926.0,,,,
CAF,Central African Republic,1972,,,,,,329312.0,,,,
CAF,Central African Republic,1973,,,,,,339583.0,,,,
CAF,Central African Republic,1974,,,,,,350594.0,,,,
CAF,Central African Republic,1975,,,,,,362395.0,,,,
CAF,Central African Republic,1976,,,,,,374320.0,,,,
CAF,Central African Republic,1977,,,,,,379944.0,,,,
CAF,Central African Republic,1978,,,,,,384834.0,,,,
CAF,Central African Republic,1979,,,,,,388464.0,,,,
CAF,Central African Republic,1980,,,,,,390860.0,,,,
CAF,Central African Republic,1981,,,,,,391961.0,,,,
CAF,Central African Republic,1982,,,,,,392193.0,,,,
CAF,Central African Republic,1983,,,,,,393814.0,,,,
CAF,Central African Republic,1984,,,,,,396672.0,,,,
CAF,Central African Republic,1985,,,,,,401374.0,,,,
CAF,Central African Republic,1986,,,,,,408232.0,,,,
CAF,Central African Republic,1987,,,,,,416892.0,,,,
CAF,Central African Republic,1988,,,,,,427913.0,,,,
CAF,Central African Republic,1989,,,,,,441972.0,,,,
CAF,Central African Republic,1990,,,,,,461820.0,,,,
CAF,Central African Republic,1991,,,,,,481719.0,,,,
CAF,Central African Republic,1992,,,,,,501565.0,,,,
CAF,Central African Republic,1993,,,,,,521833.0,,,,
CAF,Central African Republic,1994,,,,,,542265.0,,,,
CAF,Central African Republic,1995,,,,,,561828.0,,,,
CAF,Central African Republic,1996,,,,,,577084.0,,,,
CAF,Central African Republic,1997,,,,,,594206.0,,,,
CAF,Central African Republic,1998,,,,,,610553.0,,,,
CAF,Central African Republic,1999,,,,,,626107.0,,,,
CAF,Central African Republic,2000,,,,,,640775.0,,,,
CAF,Central African Republic,2001,,,,,,655954.0,,,,
CAF,Central African Republic,2002,,,,,,666703.0,,,,
CAF,Central African Republic,2003,,,,,,683358.0,,,,
CAF,Central African Republic,2004,,,,,,698366.0,,,,
CAF,Central African Republic,2005,,,,,,714102.0,,,,
CAF,Central African Republic,2006,,,,,,730891.0,,,,
CAF,Central African Republic,2007,,,,,,747738.0,,,,
CAF,Central African Republic,2008,,,,,,763736.0,,,,
CAF,Central African Republic,2009,,,,,,779415.0,,,,
CAF,Central African Republic,2010,,,,,,797231.0,,,,
CAF,Central African Republic,2011,,,,,,814674.0,,,,
CAF,Central African Republic,2012,,,,,,831641.0,,,,
CAF,Central African Republic,2013,,,,,,848707.0,,,,
CAF,Central African Republic,2014,,,,,,866625.0,,,,
CAF,Central African Republic,2015,,,,,,884717.0,,,,
CAF,Central African Republic,2016,,,,,,905690.0,,,,
CAF,Central African Republic,2017,,,,,,929298.0,,,,
CAF,Central African Republic,2018,,,,,,952887.0,,,,
CAF,Central African Republic,2019,,,,,,974615.0,,,,
CAF,Central African Republic,2020,,,,,,993685.0,,,,
CAF,Central African Republic,2021,,,,,,1009601.0,,,,
CAF,Central African Republic,2022,,,,,,1017768.0,,,,
CAF,Central African Republic,2023,,,,,,1027599.0,,,,
CHN,China,1970,,,,,39320632.0,,,,,
CHN,China,1971,,,,,38382448.0,,,,,
CHN,China,1972,,,,,32457908.0,,,,,
CHN,China,1973,,,,,28936352.0,,,,,
CHN,China,1974,,,,,27961924.0,,,,,
CHN,China,1975,,,,,36022424.0,,,,,
CHN,China,1976,,,,,50495416.0,,,,,
CHN,China,1977,,,,,75894248.0,,,,,
CHN,China,1978,,,,,79200584.0,,,,,
CHN,China,1979,,,,,76224968.0,,,,,
CHN,China,1980,,,,,74483096.0,,,,,
CHN,China,1981,,,,,76211568.0,,,,,
CHN,China,1982,,,,,78065240.0,,,,,
CHN,China,1983,,,,,82056312.0,,,,,
CHN,China,1984,,,,,80973000.0,,,,,
CHN,China,1985,,,,,79461880.0,,,,,
CHN,China,1986,,,,,76524784.0,,,,,
CHN,China,1987,,,,,73366512.0,,,,,
CHN,China,1988,,,,,68794944.0,,,,,
CHN,China,1989,,,,,64032852.0,,,,,
CHN,China,1990,,,,,59429652.0,,,,,
CHN,China,1991,,,,,57159448.0,,,,,
CHN,China,1992,,,,,56787400.0,,,,,
CHN,China,1993,,,,,58559904.0,,,,,
CHN,China,1994,,,,,61206212.0,,,,,
CHN,China,1995,,,,,64549968.0,,,,,
CHN,China,1996,,,,,64592056.0,,,,,
CHN,China,1997,,,,,64844768.0,,,,,
CHN,China,1998,,,,,64507904.0,,,,,
CHN,China,1999,,,,,68568520.0,,,,,
CHN,China,2000,,,,,72926280.0,,,,,
CHN,China,2001,,,,,74977352.0,,,,,
CHN,China,2002,,,,,75979296.0,,,,,
CHN,China,2003,,,,,76546072.0,,,,,
CHN,China,2004,,,,,73156640.0,,,,,
CHN,China,2005,,,,,67494864.0,,,,,
CHN,China,2006,,,,,60023300.0,,,,,
CHN,China,2007,,,,,57017772.0,,,,,
CHN,China,2008,,,,,55031616.0,,,,,
CHN,China,2009,,,,,53226796.0,,,,,
CHN,China,2010,,,,,51536888.0,,,,,
CHN,China,2011,,,,,49904504.0,,,,,
CHN,China,2012,,,,,48700460.0,,,,,
CHN,China,2013,,,,,48751276.0,,,,,
CHN,China,2014,,,,,48402728.0,,,,,
CHN,China,2015,,,,,48184352.0,,,,,
CHN,China,2016,,,,,47192012.0,,,,,
CHN,China,2017,,,,,47345952.0,,,,,
CHN,China,2018,,,,,47818788.0,,,,,
CHN,China,2019,,,,,48646712.0,,,,,
CHN,China,2020,,,,,49547940.0,,,,,
CHN,China,2021,,,,,50759392.0,,,,,
CHN,China,2022,,,,,51989148.0,,,,,
CHN,China,2023,,,,,52720024.0,,,,,
CMR,Cameroon,1970,,,,73796.0,,,,,,
CMR,Cameroon,1971,,,,76500.0,,,,,,
CMR,Cameroon,1972,,,,79367.0,,,,,,
CMR,Cameroon,1973,,,,82257.0,,,,,,
CMR,Cameroon,1974,,,,85349.0,,,,,,
CMR,Cameroon,1975,,,,88510.0,,,,,,
CMR,Cameroon,1976,,,,91535.0,,,,,,
CMR,Cameroon,1977,,,,94691.0,,,,,,
CMR,Cameroon,1978,,,,97978.0,,,,,,
CMR,Cameroon,1979,,,,101333.0,,,,,,
CMR,Cameroon,1980,,,,104680.0,,,,,,
CMR,Cameroon,1981,,,,108203.0,,,,,,
CMR,Cameroon,1982,,,,112052.0,,,,,,
CMR,Cameroon,1983,,,,115747.0,,,,,,
CMR,Cameroon,1984,,,,119134.0,,,,,,
CMR,Cameroon,1985,,,,122891.0,,,,,,
CMR,Cameroon,1986,,,,126552.0,,,,,,
CMR,Cameroon,1987,,,,130638.0,,,,,,
CMR,Cameroon,1988,,,,135523.0,,,,,,
CMR,Cameroon,1989,,,,140617.0,,,,,,
CMR,Cameroon,1990,,,,145635.0,,,,,,
CMR,Cameroon,1991,,,,151537.0,,,,,,
CMR,Cameroon,1992,,,,157337.0,,,,,,
CMR,Cameroon,1993,,,,164738.0,,,,,,
CMR,Cameroon,1994,,,,171549.0,,,,,,
CMR,Cameroon,1995,,,,174103.0,,,,,,
CMR,Cameroon,1996,,,,178905.0,,,,,,
CMR,Cameroon,1997,,,,185037.0,,,,,,
CMR,Cameroon,1998,,,,191977.0,,,,,,
CMR,Cameroon,1999,,,,197734.0,,,,,,
CMR,Cameroon,2000,,,,202149.0,,,,,,
CMR,Cameroon,2001,,,,206527.0,,,,,,
CMR,Cameroon,2002,,,,211433.0,,,,,,
CMR,Cameroon,2003,,,,216098.0,,,,,,
CMR,Cameroon,2004,,,,220216.0,,,,,,
CMR,Cameroon,2005,,,,223992.0,,,,,,
CMR,Cameroon,2006,,,,227901.0,,,,,,
CMR,Cameroon,2007,,,,231020.0,,,,,,
CMR,Cameroon,2008,,,,234097.0,,,,,,
CMR,Cameroon,2009,,,,238364.0,,,,,,
CMR,Cameroon,2010,,,,245329.0,,,,,,
CMR,Cameroon,2011,,,,254184.0,,,,,,
CMR,Cameroon,2012,,,,260284.0,,,,,,
CMR,Cameroon,2013,,,,266765.0,,,,,,
CMR,Cameroon,2014,,,,276530.0,,,,,,
CMR,Cameroon,2015,,,,287324.0,,,,,,
CMR,Cameroon,2016,,,,297339.0,,,,,,
CMR,Cameroon,2017,,,,305800.0,,,,,,
CMR,Cameroon,2018,,,,314820.0,,,,,,
CMR,Cameroon,2019,,,,323911.0,,,,,,
CMR,Cameroon,2020,,,,332879.0,,,,,,
CMR,Cameroon,2021,,,,342214.0,,,,,,
CMR,Cameroon,2022,,,,350664.0,,,,,,
CMR,Cameroon,2023,,,,357410.0,,,,,,
CRI,Costa Rica,1970,,,0.0,,,,,,,
CRI,Costa Rica,1971,,,0.0,,,,,,,
CRI,Costa Rica,1972,,,0.0,,,,,,,
CRI,Costa Rica,1973,,,0.0,,,,,,,
CRI,Costa Rica,1974,,,0.0,,,,,,,
CRI,Costa Rica,1975,,,0.0,,,,,,,
CRI,Costa Rica,1976,,,0.0,,,,,,,
CRI,Costa Rica,1977,,,0.0,,,,,,,
CRI,Costa Rica,1978,,,0.0,,,,,,,
CRI,Costa Rica,1979,,,0.0,,,,,,,
CRI,Costa Rica,1980,,,0.0,,,,,,,
CRI,Costa Rica,1981,,,0.0,,,,,,,
CRI,Costa Rica,1982,,,0.0,,,,,,,
CRI,Costa Rica,1983,,,0.0,,,,,,,
CRI,Costa Rica,1984,,,0.0,,,,,,,
CRI,Costa Rica,1985,,,0.0,,,,,,,
CRI,Costa Rica,1986,,,0.0,,,,,,,
CRI,Costa Rica,1987,,,0.0,,,,,,,
CRI,Costa Rica,1988,,,0.0,,,,,,,
CRI,Costa Rica,1989,,,0.0,,,,,,,
CRI,Costa Rica,1990,,,0.0,,,,,,,
CRI,Costa Rica,1991,,,0.0,,,,,,,
CRI,Costa Rica,1992,,,0.0,,,,,,,
CRI,Costa Rica,1993,,,0.0,,,,,,,
CRI,Costa Rica,1994,,,0.0,,,,,,,
