INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGD,Bangladesh,"Harmonized Test Scores, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,369.8027954101563,,369.8027954101563,,,
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,POL,Poland,"Harmonized Test Scores, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.664794921875,,,,,,,540.0,539.9454345703125,,535.3515625,,,
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,OMN,Oman,"Harmonized Test Scores, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.4266662597656,,,,,,,404.0,403.9751586914063,,403.9751586914063,,,
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PSE,West Bank and Gaza,"Harmonized Test Scores, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,399.3724060058594,,399.3724060058594,,,
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,CZE,Czech Republic,Learning-Adjusted Years of School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84394073486328,,,,,,,11.64999961853027,11.33578014373779,,11.11652374267578,,,
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,LUX,Luxembourg,"Learning-Adjusted Years of School, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32555675506592,,,,,,,10.05000019073486,9.97618293762207,,9.925128936767578,,,
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,LBN,Lebanon,"Learning-Adjusted Years of School, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.949999809265137,,,,,,
HD.HCI.MORT,Probability of Survival to Age 5,_T,_T,_T,_Z,HD.HCI.MORT,NUMBER,NUMBER,Probability of Survival to Age 5,IDN,Indonesia,Probability of Survival to Age 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9658819437026978,,,,,,,0.9746000170707704,0.974080502986908,,0.9750161170959472,,,
HD.HCI.MORT.FE,Probability of Survival to Age 5,F,_T,_T,_Z,HD.HCI.MORT,NUMBER,NUMBER,Probability of Survival to Age 5,HND,Honduras,"Probability of Survival to Age 5, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979073703289032,,,,,,,0.9839000105857848,0.9839008450508118,,0.9844355583190918,,,
HD.HCI.MORT.FE,Probability of Survival to Age 5,F,_T,_T,_Z,HD.HCI.MORT,NUMBER,NUMBER,Probability of Survival to Age 5,PER,Peru,"Probability of Survival to Age 5, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9819347858428956,,,,,,,0.9865999817848206,0.98662269115448,,0.9871181845664978,,,
HD.HCI.MORT.MA,Probability of Survival to Age 5,M,_T,_T,_Z,HD.HCI.MORT,NUMBER,NUMBER,Probability of Survival to Age 5,CYP,Cyprus,"Probability of Survival to Age 5, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9961633086204528,,,,,,,0.997099995613098,0.9973196387290956,,0.9974365234375,,,
HD.HCI.OVRL,Human Capital Index (HCI) (scale 0-1),_T,_T,_T,_Z,HD.HCI.OVRL,IX_0T1,IX,Human Capital Index (HCI) (scale 0-1),ZWE,Zimbabwe,Human Capital Index (HCI) (scale 0-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4103655219078064,,,,,,,0.4410000145435333,0.4612415730953217,,0.4668931066989899,,,
HD.HCI.OVRL.LB,"Human Capital Index (HCI), Lower Bound (scale 0-1)",_T,_T,_T,_Z,HD.HCI.OVRL.LB,IX_0T1,IX,"Human Capital Index (HCI), Lower Bound (scale 0-1)",MNE,Montenegro,"Human Capital Index (HCI), Lower Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5772528648376465,,,,,,,0.6060000061988831,0.6137576699256897,,0.624314546585083,,,
HD.HCI.OVRL.LB.FE,"Human Capital Index (HCI), Lower Bound (scale 0-1)",F,_T,_T,_Z,HD.HCI.OVRL.LB,IX_0T1,IX,"Human Capital Index (HCI), Lower Bound (scale 0-1)",AFG,Afghanistan,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3499999940395355,0.351570188999176,,0.3557217121124268,,,
HD.HCI.OVRL.LB.FE,"Human Capital Index (HCI), Lower Bound (scale 0-1)",F,_T,_T,_Z,HD.HCI.OVRL.LB,IX_0T1,IX,"Human Capital Index (HCI), Lower Bound (scale 0-1)",CHL,Chile,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6348696351051331,,,,,,,0.6510000228881836,0.6660130023956299,,0.6543067097663879,,,
HD.HCI.OVRL.LB.FE,"Human Capital Index (HCI), Lower Bound (scale 0-1)",F,_T,_T,_Z,HD.HCI.OVRL.LB,IX_0T1,IX,"Human Capital Index (HCI), Lower Bound (scale 0-1)",MEX,Mexico,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5979837775230408,,,,,,,0.6110000014305115,0.6176448464393616,,0.6162698268890381,,,
HD.HCI.OVRL.LB.MA,"Human Capital Index (HCI), Lower Bound (scale 0-1)",M,_T,_T,_Z,HD.HCI.OVRL.LB,IX_0T1,IX,"Human Capital Index (HCI), Lower Bound (scale 0-1)",URY,Uruguay,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5568424463272095,,,,,,,,0.5654448866844177,,0.5616346001625061,,,
HD.HCI.OVRL.UB.FE,"Human Capital Index (HCI), Upper Bound (scale 0-1)",F,_T,_T,_Z,HD.HCI.OVRL.UB,IX_0T1,IX,"Human Capital Index (HCI), Upper Bound (scale 0-1)",FIN,Finland,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8616037964820862,,,,,,,0.8569999933242798,0.8540313839912415,,0.8398300409317017,,,
HD.HCI.OVRL.UB.MA,"Human Capital Index (HCI), Upper Bound (scale 0-1)",M,_T,_T,_Z,HD.HCI.OVRL.UB,IX_0T1,IX,"Human Capital Index (HCI), Upper Bound (scale 0-1)",ARE,United Arab Emirates,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6102935671806335,,,,,,,,0.6841887831687927,,0.6733928322792053,,,
HD.HCI.OVRL.UB.MA,"Human Capital Index (HCI), Upper Bound (scale 0-1)",M,_T,_T,_Z,HD.HCI.OVRL.UB,IX_0T1,IX,"Human Capital Index (HCI), Upper Bound (scale 0-1)",BRN,Brunei Darussalam,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6191876530647278,,,
HD.HCI.STNT,Fraction of Children Under 5 Not Stunted,_T,_T,_T,_Z,HD.HCI.STNT,SHARE,NUMBER,Fraction of Children Under 5 Not Stunted,BRA,Brazil,Fraction of Children Under 5 Not Stunted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9399999976158142,,,,,,
HD.HCI.STNT,Fraction of Children Under 5 Not Stunted,_T,_T,_T,_Z,HD.HCI.STNT,SHARE,NUMBER,Fraction of Children Under 5 Not Stunted,MNG,Mongolia,Fraction of Children Under 5 Not Stunted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8450018167495728,,,,,,,0.8919000029563904,0.9274827241897584,,0.905842661857605,,,
HD.HCI.STNT,Fraction of Children Under 5 Not Stunted,_T,_T,_T,_Z,HD.HCI.STNT,SHARE,NUMBER,Fraction of Children Under 5 Not Stunted,USA,United States,Fraction of Children Under 5 Not Stunted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9789999723434448,,,,,,
HD.HCI.STNT.FE,Fraction of Children Under 5 Not Stunted,F,_T,_T,_Z,HD.HCI.STNT,SHARE,NUMBER,Fraction of Children Under 5 Not Stunted,BFA,Burkina Faso,"Fraction of Children Under 5 Not Stunted, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6747244596481323,,,,,,,,0.8057069182395935,,0.7799820899963379,,,
HD.HCI.STNT.MA,Fraction of Children Under 5 Not Stunted,M,_T,_T,_Z,HD.HCI.STNT,SHARE,NUMBER,Fraction of Children Under 5 Not Stunted,TUR,Turkey,"Fraction of Children Under 5 Not Stunted, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8763990998268127,,,,,,,,0.8891432881355286,,0.9333389401435852,,,
SE.CLO.15Y.LDGAP.M.PS.2000.2,"Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,ALB,Albania,"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Second Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036521437577903,,,,,,,,,,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2000.5,"Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,FRA,France,"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235422030091286,,,,,,,,,,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2000.5,"Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,ROU,Romania,"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0050465883687139,,,,,,,,,,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2006.2,"Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,AZE,Azerbaijan,"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Second Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045948270708323,,,,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2006.2,"Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,FIN,Finland,"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Second Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134971495717764,,,,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2006.F,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,F,_T,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,KOR,"Korea, Rep","Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115445759147406,,,,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2009.1,Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,BRA,Brazil,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, First Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023515515495092,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2009.2,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,TUN,Tunisia,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Second Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024886005558074,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2009.4,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Fourth Quintile",_T,_T,_T,WB_EDSTATS_Q4,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,MLT,Malta,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Fourth Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005508431699127,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2009.R,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Rural",_T,RUR,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,KAZ,Kazakhstan,"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Rural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002638673176989,,,,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.1,Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,FIN,Finland,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, First Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056810732930899,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.4,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fourth Quintile",_T,_T,_T,WB_EDSTATS_Q4,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,IRL,Ireland,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fourth Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0101050864905119,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.5,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,BGR,Bulgaria,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065388791263103,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.5,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,DEU,Germany,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0053551318123937,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.A,Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math,_T,_T,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,PRT,Portugal,Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051967483013868,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.F,Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math,F,_T,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,ROU,Romania,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029925499111414,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.U,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban",_T,URB,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,ARG,Argentina,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026277422439307,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2012.U,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban",_T,URB,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,DEU,Germany,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0070228413678706,,,,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2015.1,Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,ARE,United Arab Emirates,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028599710203707,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2015.1,Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,CAN,Canada,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047028940171003,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2015.1,Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,RUS,Russian Federation,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004508969374001,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2015.R,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Rural",_T,RUR,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,POL,Poland,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Rural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051382188685238,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2015.U,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Urban",_T,URB,_T,_Z,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,DZA,Algeria,"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025213346816599,,,,,,,,
SE.CLO.15Y.LDGAP.M.PS.2018.1,Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDGAP.M.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math,RUS,Russian Federation,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math, First Quintile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957153763622,,,,,
